"Mapping Category","Source Database Type / Alias","Is Source Datatype Supported as PK?","Spanner GoogleSQL Default Datatype","Spanner GoogleSQL Default Datatype If Column is PK","Spanner GoogleSQL Alternative Datatypes","Spanner PostgreSQL Default Datatype","Spanner PostgreSQL Default Datatype If Column is PK","Spanner PostgreSQL Alternative Datatypes","Datastream Support Status","Edge Cases for Smoke Test","Notes"
"Numeric","FLOAT8","Yes","FLOAT64","FLOAT64","STRING","PG.FLOAT8","PG.FLOAT8","PG.VARCHAR","Supported","Alias for DOUBLE","Alias for DOUBLE"
"Numeric","DOUBLE PRECISION","Yes","FLOAT64","FLOAT64","STRING","PG.FLOAT8","PG.FLOAT8","PG.VARCHAR","Supported","Alias for DOUBLE","Alias for DOUBLE"
"Character/String","CHAR","Yes","STRING","STRING","BYTES","PG.VARCHAR","PG.VARCHAR","PG.BYTEA","Supported","Fixed length test (e.g. 255 limit)","Mapped to STRING/VARCHAR"
"Character/String","VARCHAR","Yes","STRING","STRING","BYTES","PG.VARCHAR","PG.VARCHAR","PG.BYTEA","Supported","0-65535 length","Native mapping"
"Character/String","TINYTEXT","Yes","STRING","STRING","BYTES","PG.VARCHAR","PG.VARCHAR","PG.BYTEA","Supported","255 length string","Mapped to STRING"
"Character/String","TEXT","Yes","STRING","STRING","BYTES","PG.VARCHAR","PG.VARCHAR","PG.BYTEA","Supported","65535 length string","Mapped to STRING/TEXT"
"Character/String","MEDIUMTEXT","No","STRING","N/A","BYTES","PG.VARCHAR","N/A","PG.BYTEA","Supported","16MB string","Mapped to STRING"
"Character/String","LONGTEXT","No","STRING","N/A","BYTES","PG.VARCHAR","N/A","PG.BYTEA","Supported","4GB string (will fail if >10MB)","Mapped to STRING"
"Character/String","ENUM","Yes","STRING","STRING","INT64, BYTES","PG.VARCHAR","PG.VARCHAR","PG.INT8, PG.BYTEA","Supported","Specific bounded string or out-of-bound blank","Mapped to String"
"Character/String","SET","Yes","STRING","STRING","BYTES, ARRAY<STRING>","PG.VARCHAR","PG.VARCHAR","PG.BYTEA","Supported","Multiple delimited strings","Mapped to STRING"
"Character/String","CHARACTER","Yes","STRING","STRING","BYTES","PG.VARCHAR","PG.VARCHAR","PG.BYTEA","Supported","Alias for CHAR","Alias for CHAR"
"Character/String","CHARACTER VARYING","Yes","STRING","STRING","BYTES","PG.VARCHAR","PG.VARCHAR","PG.BYTEA","Supported","Alias for VARCHAR","Alias for VARCHAR"
"Character/String","NATIONAL CHAR","Yes","STRING","STRING","BYTES","PG.VARCHAR","PG.VARCHAR","PG.BYTEA","Supported","Alias for CHAR","Alias for CHAR"
"Character/String","NCHAR","Yes","STRING","STRING","BYTES","PG.VARCHAR","PG.VARCHAR","PG.BYTEA","Supported","Alias for CHAR","Alias for CHAR"
"Character/String","NATIONAL VARCHAR","Yes","STRING","STRING","BYTES","PG.VARCHAR","PG.VARCHAR","PG.BYTEA","Supported","Alias for VARCHAR","Alias for VARCHAR"
"Character/String","NVARCHAR","Yes","STRING","STRING","BYTES","PG.VARCHAR","PG.VARCHAR","PG.BYTEA","Supported","Alias for VARCHAR","Alias for VARCHAR"
"Character/String","LONG VARCHAR","No","STRING","N/A","BYTES","PG.VARCHAR","N/A","PG.BYTEA","Supported","Alias for MEDIUMTEXT","Alias for MEDIUMTEXT"
"Binary/LOB","BINARY","Yes","BYTES","BYTES","STRING","PG.BYTEA","PG.BYTEA","PG.VARCHAR","Supported","0-255 bytes","Native mapping"
"Binary/LOB","VARBINARY","Yes","BYTES","BYTES","STRING","PG.BYTEA","PG.BYTEA","PG.VARCHAR","Supported","0-65535 bytes","Native mapping"
"Binary/LOB","TINYBLOB","Yes","BYTES","BYTES","STRING","PG.BYTEA","PG.BYTEA","PG.VARCHAR","Supported","255 bytes limit","Mapped to BYTES"
"Binary/LOB","BLOB","Yes","BYTES","BYTES","STRING","PG.BYTEA","PG.BYTEA","PG.VARCHAR","Supported","65535 bytes limit","Mapped to BYTES"
"Binary/LOB","MEDIUMBLOB","No","BYTES","N/A","STRING","PG.BYTEA","N/A","PG.VARCHAR","Supported","16MB limit","Mapped to BYTES"
"Binary/LOB","LONGBLOB","No","BYTES","N/A","STRING","PG.BYTEA","N/A","PG.VARCHAR","Supported","4GB limit (will fail if >10MB)","Mapped to BYTES"
"Binary/LOB","LONG VARBINARY","No","BYTES","N/A","STRING","PG.BYTEA","N/A","PG.VARCHAR","Supported","Alias for MEDIUMBLOB","Alias for MEDIUMBLOB"
"Temporal","DATE","Yes","DATE","DATE","STRING","PG.DATE","PG.DATE","PG.VARCHAR","Supported","1000-01-01 to 9999-12-31","Native mapping"
"Temporal","DATETIME","Yes","TIMESTAMP","TIMESTAMP","STRING","PG.TIMESTAMPTZ","PG.TIMESTAMPTZ","PG.VARCHAR","Supported","1000-01-01 00:00:00 to 9999-12-31 23:59:59","Mapped to TIMESTAMP"
"Temporal","TIMESTAMP","Yes","TIMESTAMP","TIMESTAMP","STRING","PG.TIMESTAMPTZ","PG.TIMESTAMPTZ","PG.VARCHAR","Supported","1970-01-01 00:00:01 to 2038-01-19 03:14:07","Native mapping"
"Temporal","TIME","Yes","STRING","STRING","INT64 (micros)","PG.TIME","PG.TIME","PG.VARCHAR","Supported","'-838:59:59' to '838:59:59'","Spanner GoogleSQL lacks TIME"
"Temporal","YEAR","Yes","INT64","INT64","STRING","PG.INT8","PG.INT8","PG.VARCHAR","Supported","1901 to 2155","Mapped to INT64 or STRING"
"JSON/XML","JSON","No","JSON","N/A","STRING","PG.JSONB","N/A","PG.VARCHAR","Supported","Max size boundary tests. Complex nested JSON.","Native mapping."
"Geometric/Spatial","GEOMETRY","No","BYTES","N/A","STRING","PG.BYTEA","N/A","PG.VARCHAR","Unsupported","Various geometries","Unsupported by Datastream natively"
"Geometric/Spatial","POINT","No","BYTES","N/A","STRING","PG.BYTEA","N/A","PG.VARCHAR","Unsupported","POINT(15 20)","Unsupported by Datastream"
"Geometric/Spatial","LINESTRING","No","BYTES","N/A","STRING","PG.BYTEA","N/A","PG.VARCHAR","Unsupported","LINESTRING(0 0, 10 10, 20 25)","Unsupported by Datastream"
"Geometric/Spatial","POLYGON","No","BYTES","N/A","STRING","PG.BYTEA","N/A","PG.VARCHAR","Unsupported","POLYGON((0 0,10 0,10 10,0 10,0 0))","Unsupported by Datastream"
"Geometric/Spatial","MULTIPOINT","No","BYTES","N/A","STRING","PG.BYTEA","N/A","PG.VARCHAR","Unsupported","MULTIPOINT(0 0, 20 20)","Unsupported by Datastream"
"Geometric/Spatial","MULTILINESTRING","No","BYTES","N/A","STRING","PG.BYTEA","N/A","PG.VARCHAR","Unsupported","MULTILINESTRING((0 0,10 10,10 20),(20 20,25 25,25 30))","Unsupported by Datastream"
"Geometric/Spatial","MULTIPOLYGON","No","BYTES","N/A","STRING","PG.BYTEA","N/A","PG.VARCHAR","Unsupported","MULTIPOLYGON(((0 0,10 0,10 10,0 10,0 0)),((5 5,7 5,7 7,5 7,5 5)))","Unsupported by Datastream"
"Geometric/Spatial","GEOMETRYCOLLECTION","No","BYTES","N/A","STRING","PG.BYTEA","N/A","PG.VARCHAR","Unsupported","GEOMETRYCOLLECTION(...)","Unsupported by Datastream"
"Geometric/Spatial","GEOMCOLLECTION","No","BYTES","N/A","STRING","PG.BYTEA","N/A","PG.VARCHAR","Unsupported","Alias for GEOMETRYCOLLECTION","Unsupported by Datastream"
